architecture,year,hours,field,heldout_nrmse,full_nrmse,heldout_minus_full,full_gain_pct,delta_ci95_low,delta_ci95_median,delta_ci95_high,bootstrap_draws_full_not_better,bootstrap_tail_probability_full_not_better,bootstrap_probability_at_floor,comparability
WeatherBridge,2020,trained_hours,V850,0.16256900810078648,0.16304315304496442,-0.00047414494417793995,-0.29165764724601656,-0.0005020447889500706,-0.0004745210998466365,-0.0004471968496529026,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,V700,0.19494786201175995,0.19549489530737973,-0.000547033295619781,-0.2806049217337823,-0.0005837620541944318,-0.0005473428378097722,-0.0005122780086779424,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,Q1000,0.022805787350880704,0.022834588535526307,-2.88011846456028e-05,-0.12628892921993579,-3.3358036688896714e-05,-2.8865011204947874e-05,-2.4471792418192302e-05,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,Q925,0.03702763689297534,0.03695631653107006,7.132036190528324e-05,0.19261386329197178,6.652784188513529e-05,7.124574237645648e-05,7.599340702003302e-05,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,Q850,0.04968285747957859,0.049266324127970995,0.0004165333516075939,0.8383844503686284,0.00040632096190346465,0.0004164075295007112,0.0004266629698204904,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,Q700,0.06670633955787793,0.06657588237220198,0.00013045718567594733,0.19556939646306903,0.00012033638719643746,0.000130359672907282,0.00014059461596163425,0,0.0001999600079984003,True,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,Z1000,0.020292928128223142,0.020676581970047094,-0.000383653841823952,-1.890579020434075,-0.00039195739999075456,-0.0003837117306187566,-0.0003754389678958567,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,Z925,0.016136734689448085,0.016470382565947076,-0.00033364787649899086,-2.067629436314432,-0.00034072507017659923,-0.00033370543558920024,-0.00032652403620785,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,Z850,0.012636532146424873,0.012915834604985443,-0.0002793024585605701,-2.2102777512388188,-0.00028520099667988445,-0.00027933240624562934,-0.0002733321761052283,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,Z700,0.008253544043928373,0.008447380172934792,-0.00019383612900641944,-2.3485199566968182,-0.0001978690995636877,-0.00019387031943956645,-0.0001896973293972894,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,t2m,0.018719611831793177,0.018786625140622733,-6.701330882955686e-05,-0.3579845000618133,-7.582130204197828e-05,-6.705761396360102e-05,-5.82915619405708e-05,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,u10,0.06227619661973169,0.06261113999767771,-0.0003349433779460259,-0.5378353144962323,-0.0003442628665411793,-0.00033487174590919946,-0.0003253815975494052,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,v10,0.1047749192131772,0.1054747459894765,-0.0006998267762992894,-0.6679334916740975,-0.0007164634353319984,-0.0006998785405629704,-0.0006839039814844547,5000,1.0,False,optimizer_budget_and_seed_matched
WeatherBridge,2020,trained_hours,mslp,0.020648179001176322,0.02101052748069224,-0.0003623484795159185,-1.7548689378142042,-0.00037037494670618917,-0.00036245215391333616,-0.0003543653131077385,5000,1.0,False,optimizer_budget_and_seed_matched
