architecture,year,field,hour,hour_split,heldout_nrmse,full_nrmse,full_gain_pct,heldout_physical_rmse,full_physical_rmse,physical_unit,heldout_acc,full_acc,full_acc_delta,comparability,heldout_steps,full_steps
SwinV2,2021,V850,4,held_out,0.29196899978510715,0.2834874038848789,2.904964536122258,0.7323625676226049,0.7110876945233329,m s-1,0.9912861017965162,0.9917682791548198,0.00048217735830358155,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,V700,4,held_out,0.34069448027945676,0.3307036681407376,2.9324842981090087,0.7621159204292175,0.7397669924770237,m s-1,0.992540766641686,0.9929386141242681,0.0003978474825820921,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Q1000,4,held_out,0.03687435846272627,0.03588110062087915,2.6936274507694353,0.00026659127880672347,0.00025941030295414973,kg kg-1,0.9846749680399336,0.9854993942315012,0.0008244261915676399,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Q925,4,held_out,0.06411445773929357,0.06342168286615972,1.0805283200722946,0.00039481688091705196,0.00039055077297285926,kg kg-1,0.9662807098615099,0.9670215621614727,0.0007408522999627909,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Q850,4,held_out,0.09428822072139047,0.09382578592460374,0.4904481103245831,0.0004573347649456028,0.0004550917762037991,kg kg-1,0.9696199489941002,0.9699253024715514,0.0003053534774511979,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Q700,4,held_out,0.11932621356395817,0.11892265651925268,0.3381964722187249,0.00034880987624777264,0.0003476302134866618,kg kg-1,0.9771755451804979,0.9773260919510615,0.00015054677056358656,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Z1000,4,held_out,0.03192939912978904,0.030662297948233625,3.9684466857794725,29.161150818499173,28.003906243090956,m2 s-2,0.9987135264767829,0.9988106261364077,9.709965962478861e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Z925,4,held_out,0.025184754982314362,0.024230918441625608,3.7873568409086054,27.990629386102842,26.930524346833113,m2 s-2,0.9987664736921636,0.9988555157742987,8.904208213500464e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Z850,4,held_out,0.01949499138112738,0.01884599426922971,3.329045390222374,27.15710368532777,26.253031352871815,m2 s-2,0.9988526689437817,0.9989254480816356,7.277913785397327e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Z700,4,held_out,0.012562434915992696,0.012244576805129519,2.530226926457748,26.650423548848686,25.976107435110606,m2 s-2,0.9991177197726898,0.999160460809253,4.274103656320971e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,t2m,4,held_out,0.03102653719540281,0.027907049331004505,10.054257246794906,0.6081201404474437,0.5469781771649944,K,0.9757771241054931,0.9804686296774696,0.004691505571976506,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,u10,4,held_out,0.10854126716072188,0.10573410112247648,2.5862661379184906,0.5361938649825319,0.5223264639925366,m s-1,0.9907002805377142,0.991176409657401,0.0004761291196867523,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,v10,4,held_out,0.1863889711602146,0.18082067452375383,2.98746036409763,0.5181613333445567,0.5026814692348162,m s-1,0.991571984302122,0.9920685688055434,0.0004965845034213823,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,mslp,4,held_out,0.032279289048845486,0.031020094059090616,3.9009378051958885,36.0140009645378,34.60911714750941,Pa,0.998778870429502,0.9988693369703124,9.046654081046324e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,T1000,5,trained,0.0142819240541054,0.014249125025293482,0.22965413264811424,0.24207464544627316,0.24151871212795512,K,0.9964929727431775,0.996503287730504,1.0314987326509595e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,T925,5,trained,0.015879070231339467,0.01579711533420414,0.5161189914858967,0.25381018425286145,0.25250022046145865,K,0.9970270622129741,0.9970571084153554,3.0046202381339704e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,T850,5,trained,0.018133430309950786,0.01811597729810139,0.09624771238026412,0.278411420491701,0.278143456423171,K,0.9969222807633641,0.9969260895224668,3.8087591026636503e-06,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,T700,5,trained,0.016233351608217907,0.01616242895859148,0.43689468039688745,0.23237947648341076,0.23136422377936838,K,0.9974478397028512,0.9974692604504253,2.1420747574052434e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,U1000,5,trained,0.0693183908103044,0.06915107586157193,0.24137165732877547,0.38251009416477494,0.38158682371484787,m s-1,0.9962614725894408,0.9962783958548701,1.692326542934719e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,U925,5,trained,0.0659937083560679,0.06587849616990515,0.17458056083333898,0.4725564539687764,0.4717314621594705,m s-1,0.9965339711325514,0.9965445625446259,1.0591412074489881e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,U850,5,trained,0.06845923294663432,0.06796492401863477,0.7220485926052914,0.5159225992373201,0.5121973871290771,m s-1,0.9960808054185206,0.9961360565674441,5.5251148923463056e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,U700,5,trained,0.06535295248536924,0.06488390515685145,0.7177140598548928,0.5574992488563002,0.5534979995091617,m s-1,0.9963856489915203,0.9964363355787202,5.068658719997732e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,V1000,5,trained,0.11829489640979751,0.11830109806014177,-0.005242534151919898,0.36367349848625474,0.3636925638542586,m s-1,0.9967987461827854,0.9967968734421128,-1.8727406726481988e-06,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,V925,5,trained,0.14332391001708503,0.143265338069484,0.0408668362411063,0.4485216737516698,0.44833837687874545,m s-1,0.996867110284484,0.996868294771608,1.1844871239397037e-06,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,V850,5,trained,0.18383816229290323,0.18353267374405174,0.1661725427633246,0.46113179384871816,0.46036551956762256,m s-1,0.9965386766186582,0.9965501388778137,1.1462259155492482e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,V700,5,trained,0.21313224536604772,0.21291813327656345,0.10045973527681795,0.47676580297574,0.4762868454223905,m s-1,0.9970629461164515,0.9970679305283532,4.984411901665098e-06,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Q1000,5,trained,0.022876476194110158,0.02275573228415406,0.5278081682317256,0.00016539051257603472,0.00016451756750555927,kg kg-1,0.9941079038823633,0.9941691291047564,6.122522239315753e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Q925,5,trained,0.04029936271241366,0.04022125240694278,0.1938251630138637,0.00024816350680125583,0.00024768250402146296,kg kg-1,0.9868468291935688,0.9868995268753237,5.269768175486522e-05,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
SwinV2,2021,Q850,5,trained,0.05931207956417856,0.05932106452377604,-0.01514861671265336,0.000287686794758727,0.00028773037548566696,kg kg-1,0.988152626393252,0.9881563358544123,3.7094611603505356e-06,optimizer_steps_matched_seed_not_checkpoint_verified,17520,17520
