architecture,year,field,hours,heldout_nrmse,full_nrmse,full_gain_pct,heldout_acc,full_acc,full_acc_delta,comparability
WeatherBridge,2021,V700,trained,0.19396144212328212,0.1944815679845208,-0.2681594112442623,0.9973068860953295,0.9973049786554755,-1.9074398539542514e-06,optimizer_budget_and_seed_matched
WeatherBridge,2021,V700,held_out,0.2667268372792039,0.24345450105493563,8.725157341369167,0.9953865788514618,0.996149756092478,0.0007631772410162663,optimizer_budget_and_seed_matched
WeatherBridge,2021,Q1000,trained,0.02289172791958519,0.02292464189984315,-0.14378110893848606,0.9936474638488538,0.9936330788990011,-1.4384949852730422e-05,optimizer_budget_and_seed_matched
WeatherBridge,2021,Q1000,held_out,0.030237979288194473,0.02795202832822022,7.559866809177744,0.9897243933493904,0.9912327345920329,0.0015083412426424303,optimizer_budget_and_seed_matched
WeatherBridge,2021,Q925,trained,0.036894331427071055,0.03682712678176004,0.1821543925897058,0.9882043750941091,0.9882632816632753,5.8906569166183864e-05,optimizer_budget_and_seed_matched
WeatherBridge,2021,Q925,held_out,0.047750545433866504,0.0451981931606126,5.34517930646229,0.981549319017637,0.9834814512306028,0.0019321322129658425,optimizer_budget_and_seed_matched
WeatherBridge,2021,Q850,trained,0.04888951352002721,0.048516199037441726,0.763588049270647,0.9913747191147319,0.9915186615952379,0.00014394248050608738,optimizer_budget_and_seed_matched
WeatherBridge,2021,Q850,held_out,0.06213009341134793,0.058970919139921404,5.0847730913752525,0.9870254220234802,0.9883099895217476,0.0012845674982674415,optimizer_budget_and_seed_matched
WeatherBridge,2021,Q700,trained,0.06577499503159577,0.06561725926280376,0.23981114512625681,0.9924974449480466,0.9925294498787002,3.200493065358412e-05,optimizer_budget_and_seed_matched
WeatherBridge,2021,Q700,held_out,0.08290127447868033,0.08047948316506062,2.9212956361032987,0.9891047989080891,0.9897116463180373,0.000606847409948208,optimizer_budget_and_seed_matched
WeatherBridge,2021,Z1000,trained,0.020071157132832678,0.020429333798993702,-1.7845342138999725,0.9994808472047155,0.9994629297784096,-1.791742630596893e-05,optimizer_budget_and_seed_matched
WeatherBridge,2021,Z1000,held_out,0.027516266841431068,0.022553716320124626,18.034970186560194,0.9990400411517395,0.9993525468737324,0.00031250572199292836,optimizer_budget_and_seed_matched
WeatherBridge,2021,Z925,trained,0.015939636941825045,0.01625166047663561,-1.9575322571609313,0.9994972728126971,0.9994779842975672,-1.9288515129889383e-05,optimizer_budget_and_seed_matched
WeatherBridge,2021,Z925,held_out,0.021753807301254466,0.017729408178049688,18.499746124774695,0.999075002787271,0.9993830141708917,0.0003080113836206877,optimizer_budget_and_seed_matched
WeatherBridge,2021,Z850,trained,0.012472958441535004,0.012733593610952653,-2.089601842572749,0.999522961574503,0.9995032705707284,-1.9691003774635618e-05,optimizer_budget_and_seed_matched
WeatherBridge,2021,Z850,held_out,0.01688866398139415,0.013761057137147169,18.51897135079835,0.9991344395752357,0.9994228001933156,0.0002883606180799081,optimizer_budget_and_seed_matched
WeatherBridge,2021,Z700,trained,0.00813485215085931,0.008315691840809976,-2.2230236837379027,0.9996246196303692,0.9996081318663093,-1.6487764059935905e-05,optimizer_budget_and_seed_matched
WeatherBridge,2021,Z700,held_out,0.01094589581235183,0.008913400974336658,18.568556405603786,0.9993270463692685,0.999551832851903,0.00022478648263446477,optimizer_budget_and_seed_matched
WeatherBridge,2021,t2m,trained,0.019010529563497625,0.019067345566011154,-0.2988659643791405,0.9903827364411076,0.9903564928689385,-2.6243572169182272e-05,optimizer_budget_and_seed_matched
WeatherBridge,2021,t2m,held_out,0.028036164219304598,0.023812020408877463,15.06676796934495,0.9802743501749303,0.9858498091616787,0.005575458986748494,optimizer_budget_and_seed_matched
WeatherBridge,2021,u10,trained,0.062258995499971326,0.0625886608505923,-0.5295063757029639,0.9967288241193973,0.9967058077763814,-2.3016343015935803e-05,optimizer_budget_and_seed_matched
WeatherBridge,2021,u10,held_out,0.08414171200255724,0.07753643485493798,7.850181545412945,0.9944330314174508,0.9952727144344107,0.0008396830169599134,optimizer_budget_and_seed_matched
WeatherBridge,2021,v10,trained,0.10463314497440025,0.10531564913598597,-0.6522829470075665,0.9971522722467365,0.9971283065472819,-2.3965699454620015e-05,optimizer_budget_and_seed_matched
WeatherBridge,2021,v10,held_out,0.14399201684241536,0.13116330204296717,8.909323642218247,0.9950025066893984,0.9958514874591822,0.0008489807697837914,optimizer_budget_and_seed_matched
WeatherBridge,2021,mslp,trained,0.02042430298151852,0.020764791303545988,-1.6670743786731284,0.9994996048103827,0.9994835777106236,-1.6027099759119423e-05,optimizer_budget_and_seed_matched
WeatherBridge,2021,mslp,held_out,0.027838454042161533,0.023017017382880943,17.31934054950929,0.9990871626899838,0.9993735425470769,0.00028637985709312197,optimizer_budget_and_seed_matched
WeatherDCAE-14M,2020,T1000,trained,0.016480338843728348,0.01577292624586905,4.292463914529926,0.9947571766710089,0.9952057041904069,0.00044852751939794544,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,T1000,held_out,0.02107472367262843,0.01969798042091394,6.5326752231754535,0.9921081705615442,0.9930993281933725,0.0009911576318283322,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,T925,trained,0.018344475854739386,0.01753473144886115,4.414104890704923,0.9955051843720143,0.9959027806844784,0.0003975963124640547,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,T925,held_out,0.023233299915414236,0.021791971674421755,6.20371727752813,0.99334366930505,0.9941405922757773,0.0007969229707273096,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,T850,trained,0.02104824223702433,0.019894370997606197,5.482031356463803,0.9953296647469599,0.9958404131379055,0.000510748390945559,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,T850,held_out,0.026614718337124716,0.024741354439412448,7.038826689738528,0.9930885665510345,0.9940285711956977,0.0009400046446631505,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,T700,trained,0.018769736858542982,0.01810533961610615,3.539725929265937,0.9962644761287902,0.9965327145495739,0.0002682384207837174,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,T700,held_out,0.023538636757392695,0.02242972006534945,4.711048917032009,0.9945433732195075,0.9950452489243722,0.0005018757048647071,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,U1000,trained,0.069361326037489,0.06524871262005551,5.929260082499967,0.9959449255715461,0.9964203262184476,0.000475400646901436,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,U1000,held_out,0.08885110241763838,0.08034494135744225,9.573500866892482,0.9937564303485491,0.9948977001077073,0.001141269759158181,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,U925,trained,0.06713425205861041,0.06310375683328583,6.003634660003112,0.9961170649940199,0.9965771159753191,0.0004600509812991982,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,U925,held_out,0.08625524469087312,0.07786656627034838,9.725412582838993,0.994002033225067,0.9951119347463154,0.0011099015212484575,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,U850,trained,0.07027229421640462,0.06475610695106122,7.849732710243113,0.9955118954094657,0.99619922292434,0.0006873275148743252,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,U850,held_out,0.08913192023576352,0.0796923468066266,10.59056441751534,0.9932573485664309,0.9946108695355541,0.001353520969123223,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,U700,trained,0.06484344875243411,0.059798519922767863,7.780167351874343,0.9961102786375656,0.9966953054977598,0.0005850268601941266,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,U700,held_out,0.08179634854691259,0.07320587065739553,10.502275519780895,0.9942194421493304,0.9953715075180736,0.001152065368743127,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,V1000,trained,0.11665134173206144,0.10918262955938351,6.4025943137739025,0.9966887037461701,0.9971071099098192,0.00041840616364907657,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,V1000,held_out,0.152507844035039,0.13541634763532562,11.206962178146442,0.9947274910084987,0.9958427410404884,0.0011152500319897563,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,V925,trained,0.14327117435959796,0.1327442341478753,7.347563289528822,0.996700841585131,0.9971720756854846,0.00047123410035365687,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,V925,held_out,0.18732882507916826,0.16416818783849402,12.363627023703467,0.9947372562222636,0.995954684933629,0.0012174287113654314,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,V850,trained,0.18447855196327143,0.17019744847831167,7.741335419741932,0.9962948285692907,0.9968498190363109,0.0005549904670201222,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,V850,held_out,0.23859549880941888,0.2103259042116996,11.848335253088727,0.9942559338481146,0.9955299615492277,0.0012740277011130674,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,V700,trained,0.2068180873996568,0.19248228017699473,6.931602261150129,0.9969976266750281,0.9973972013628,0.0003995746877718531,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,V700,held_out,0.2687446468503085,0.23781685650160295,11.508244242696463,0.9953373393571853,0.9963430271890816,0.0010056878318963625,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Q1000,trained,0.027455218041884777,0.026741886370253737,2.5981642926412194,0.9908657156948495,0.9913422871419332,0.0004765714470836846,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Q1000,held_out,0.03452747068351125,0.03309384011890505,4.152144759595255,0.9866282081661311,0.9877164183541496,0.0010882101880185235,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Q925,trained,0.049169638534223375,0.047604275423187854,3.1835969466116514,0.9792714683188354,0.9806111346593583,0.0013396663405229603,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Q925,held_out,0.06197699925363557,0.05923220541836442,4.428729800289802,0.9692779063802432,0.9719773576579394,0.0026994512776961077,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Q850,trained,0.07232326445376826,0.06640351689643396,8.185122176168386,0.9816571035647774,0.9846186700838845,0.0029615665191070617,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Q850,held_out,0.0909495473492055,0.08248570952164612,9.306080210671132,0.9731265949631128,0.9779371739234825,0.004810578960369627,same_seed_full_has_more_optimizer_steps
WeatherDCAE-14M,2020,Q700,trained,0.09051803153204994,0.080346078807788,11.23748777132911,0.9861442438772139,0.9891393351397785,0.0029950912625645865,same_seed_full_has_more_optimizer_steps
