model,channel,tau_hours,rmse_norm
ModAFNO 24ch,Q700,2,0.124269
ModAFNO 24ch,Z1000,2,0.042909
ModAFNO 24ch,Z925,2,0.040249
ModAFNO 24ch,Z850,2,0.029986
ModAFNO 24ch,Z700,2,0.025868
ModAFNO 24ch,t2m,2,0.044191
ModAFNO 24ch,u10,2,0.132467
ModAFNO 24ch,v10,2,0.240507
ModAFNO 24ch,mslp,2,0.045752
ModAFNO 24ch,T1000,3,0.032358
ModAFNO 24ch,T925,3,0.033794
ModAFNO 24ch,T850,3,0.039243
ModAFNO 24ch,T700,3,0.034458
ModAFNO 24ch,U1000,3,0.146268
ModAFNO 24ch,U925,3,0.142774
ModAFNO 24ch,U850,3,0.138904
ModAFNO 24ch,U700,3,0.132240
ModAFNO 24ch,V1000,3,0.272193
ModAFNO 24ch,V925,3,0.344675
ModAFNO 24ch,V850,3,0.426306
ModAFNO 24ch,V700,3,0.506174
ModAFNO 24ch,Q1000,3,0.047162
ModAFNO 24ch,Q925,3,0.075059
ModAFNO 24ch,Q850,3,0.113475
ModAFNO 24ch,Q700,3,0.142547
ModAFNO 24ch,Z1000,3,0.049919
ModAFNO 24ch,Z925,3,0.045073
ModAFNO 24ch,Z850,3,0.033999
ModAFNO 24ch,Z700,3,0.027960
ModAFNO 24ch,t2m,3,0.046916
ModAFNO 24ch,u10,3,0.150625
ModAFNO 24ch,v10,3,0.276093
ModAFNO 24ch,mslp,3,0.052634
ModAFNO 24ch,T1000,4,0.028794
ModAFNO 24ch,T925,4,0.030377
ModAFNO 24ch,T850,4,0.036102
ModAFNO 24ch,T700,4,0.032286
ModAFNO 24ch,U1000,4,0.131335
ModAFNO 24ch,U925,4,0.128119
ModAFNO 24ch,U850,4,0.124530
ModAFNO 24ch,U700,4,0.119039
ModAFNO 24ch,V1000,4,0.242677
ModAFNO 24ch,V925,4,0.306769
ModAFNO 24ch,V850,4,0.377809
ModAFNO 24ch,V700,4,0.449233
ModAFNO 24ch,Q1000,4,0.042785
ModAFNO 24ch,Q925,4,0.067883
ModAFNO 24ch,Q850,4,0.099393
ModAFNO 24ch,Q700,4,0.124901
ModAFNO 24ch,Z1000,4,0.044163
ModAFNO 24ch,Z925,4,0.041335
ModAFNO 24ch,Z850,4,0.031340
ModAFNO 24ch,Z700,4,0.026912
ModAFNO 24ch,t2m,4,0.044036
ModAFNO 24ch,u10,4,0.135235
ModAFNO 24ch,v10,4,0.246579
ModAFNO 24ch,mslp,4,0.047552
ModAFNO 24ch,T1000,5,0.019915
ModAFNO 24ch,T925,5,0.021138
ModAFNO 24ch,T850,5,0.027067
ModAFNO 24ch,T700,5,0.025116
ModAFNO 24ch,U1000,5,0.080385
ModAFNO 24ch,U925,5,0.078547
ModAFNO 24ch,U850,5,0.077524
ModAFNO 24ch,U700,5,0.075508
ModAFNO 24ch,V1000,5,0.143973
ModAFNO 24ch,V925,5,0.181034
ModAFNO 24ch,V850,5,0.223771
ModAFNO 24ch,V700,5,0.266490
ModAFNO 24ch,Q1000,5,0.030723
ModAFNO 24ch,Q925,5,0.044706
ModAFNO 24ch,Q850,5,0.062864
ModAFNO 24ch,Q700,5,0.078092
ModAFNO 24ch,Z1000,5,0.030115
ModAFNO 24ch,Z925,5,0.032838
ModAFNO 24ch,Z850,5,0.025218
ModAFNO 24ch,Z700,5,0.024356
ModAFNO 24ch,t2m,5,0.033943
ModAFNO 24ch,u10,5,0.084096
ModAFNO 24ch,v10,5,0.149554
ModAFNO 24ch,mslp,5,0.035025
S-DYff 24ch,T1000,1,0.014564
S-DYff 24ch,T925,1,0.016503
S-DYff 24ch,T850,1,0.019129
S-DYff 24ch,T700,1,0.016843
S-DYff 24ch,U1000,1,0.083277
S-DYff 24ch,U925,1,0.080599
S-DYff 24ch,U850,1,0.078594
S-DYff 24ch,U700,1,0.075628
S-DYff 24ch,V1000,1,0.156399
S-DYff 24ch,V925,1,0.199271
S-DYff 24ch,V850,1,0.249773
S-DYff 24ch,V700,1,0.305330
S-DYff 24ch,Q1000,1,0.022352
S-DYff 24ch,Q925,1,0.040911
S-DYff 24ch,Q850,1,0.061743
S-DYff 24ch,Q700,1,0.079056
S-DYff 24ch,Z1000,1,0.024234
S-DYff 24ch,Z925,1,0.019282
S-DYff 24ch,Z850,1,0.014952
S-DYff 24ch,Z700,1,0.009606
S-DYff 24ch,t2m,1,0.016572
S-DYff 24ch,u10,1,0.084367
S-DYff 24ch,v10,1,0.157089
S-DYff 24ch,mslp,1,0.024322
S-DYff 24ch,T1000,2,0.022915
S-DYff 24ch,T925,2,0.026013
S-DYff 24ch,T850,2,0.030205
S-DYff 24ch,T700,2,0.026325
S-DYff 24ch,U1000,2,0.128370
S-DYff 24ch,U925,2,0.125302
S-DYff 24ch,U850,2,0.123577
S-DYff 24ch,U700,2,0.118532
S-DYff 24ch,V1000,2,0.243451
S-DYff 24ch,V925,2,0.306181
S-DYff 24ch,V850,2,0.387686
S-DYff 24ch,V700,2,0.477491
S-DYff 24ch,Q1000,2,0.035416
S-DYff 24ch,Q925,2,0.064477
S-DYff 24ch,Q850,2,0.099288
S-DYff 24ch,Q700,2,0.126552
S-DYff 24ch,Z1000,2,0.030727
S-DYff 24ch,Z925,2,0.023803
S-DYff 24ch,Z850,2,0.017909
S-DYff 24ch,Z700,2,0.011226
S-DYff 24ch,t2m,2,0.032494
S-DYff 24ch,u10,2,0.130142
S-DYff 24ch,v10,2,0.244598
S-DYff 24ch,mslp,2,0.031150
S-DYff 24ch,T1000,3,0.026270
S-DYff 24ch,T925,3,0.029540
S-DYff 24ch,T850,3,0.034204
S-DYff 24ch,T700,3,0.029660
S-DYff 24ch,U1000,3,0.144355
S-DYff 24ch,U925,3,0.141283
S-DYff 24ch,U850,3,0.139842
S-DYff 24ch,U700,3,0.133807
S-DYff 24ch,V1000,3,0.272466
S-DYff 24ch,V925,3,0.341024
S-DYff 24ch,V850,3,0.435901
S-DYff 24ch,V700,3,0.537447
S-DYff 24ch,Q1000,3,0.041160
S-DYff 24ch,Q925,3,0.072989
S-DYff 24ch,Q850,3,0.113450
S-DYff 24ch,Q700,3,0.145005
S-DYff 24ch,Z1000,3,0.034788
S-DYff 24ch,Z925,3,0.026849
S-DYff 24ch,Z850,3,0.020182
S-DYff 24ch,Z700,3,0.012704
S-DYff 24ch,t2m,3,0.028465
S-DYff 24ch,u10,3,0.146317
S-DYff 24ch,v10,3,0.273608
S-DYff 24ch,mslp,3,0.035363
S-DYff 24ch,T1000,4,0.023759
S-DYff 24ch,T925,4,0.026512
