model,channel,tau_hours,acc
ModAFNO 24ch,V1000,1,0.995475
ModAFNO 24ch,V925,1,0.995163
ModAFNO 24ch,V850,1,0.995035
ModAFNO 24ch,V700,1,0.995526
ModAFNO 24ch,Q1000,1,0.989706
ModAFNO 24ch,Q925,1,0.984767
ModAFNO 24ch,Q850,1,0.987487
ModAFNO 24ch,Q700,1,0.990750
ModAFNO 24ch,Z1000,1,0.998939
ModAFNO 24ch,Z925,1,0.998017
ModAFNO 24ch,Z850,1,0.998327
ModAFNO 24ch,Z700,1,0.996973
ModAFNO 24ch,t2m,1,0.971575
ModAFNO 24ch,u10,1,0.994442
ModAFNO 24ch,v10,1,0.994893
ModAFNO 24ch,mslp,1,0.998711
ModAFNO 24ch,T1000,2,0.985599
ModAFNO 24ch,T925,2,0.988753
ModAFNO 24ch,T850,2,0.987694
ModAFNO 24ch,T700,2,0.990257
ModAFNO 24ch,U1000,2,0.987043
ModAFNO 24ch,U925,2,0.987374
ModAFNO 24ch,U850,2,0.987356
ModAFNO 24ch,U700,2,0.988123
ModAFNO 24ch,V1000,2,0.987383
ModAFNO 24ch,V925,2,0.986463
ModAFNO 24ch,V850,2,0.986057
ModAFNO 24ch,V700,2,0.987401
ModAFNO 24ch,Q1000,2,0.980563
ModAFNO 24ch,Q925,2,0.964790
ModAFNO 24ch,Q850,2,0.968006
ModAFNO 24ch,Q700,2,0.975838
ModAFNO 24ch,Z1000,2,0.997689
ModAFNO 24ch,Z925,2,0.996851
ModAFNO 24ch,Z850,2,0.997277
ModAFNO 24ch,Z700,2,0.996203
ModAFNO 24ch,t2m,2,0.954205
ModAFNO 24ch,u10,2,0.986033
ModAFNO 24ch,v10,2,0.986262
ModAFNO 24ch,mslp,2,0.997548
ModAFNO 24ch,T1000,3,0.982479
ModAFNO 24ch,T925,3,0.986221
ModAFNO 24ch,T850,3,0.985011
ModAFNO 24ch,T700,3,0.988263
ModAFNO 24ch,U1000,3,0.983183
ModAFNO 24ch,U925,3,0.983623
ModAFNO 24ch,U850,3,0.983569
ModAFNO 24ch,U700,3,0.984739
ModAFNO 24ch,V1000,3,0.983317
ModAFNO 24ch,V925,3,0.982258
ModAFNO 24ch,V850,3,0.981590
ModAFNO 24ch,V700,3,0.983215
ModAFNO 24ch,Q1000,3,0.975449
ModAFNO 24ch,Q925,3,0.955458
ModAFNO 24ch,Q850,3,0.958274
ModAFNO 24ch,Q700,3,0.968046
ModAFNO 24ch,Z1000,3,0.996903
ModAFNO 24ch,Z925,3,0.996091
ModAFNO 24ch,Z850,3,0.996531
ModAFNO 24ch,Z700,3,0.995592
ModAFNO 24ch,t2m,3,0.953367
ModAFNO 24ch,u10,3,0.981981
ModAFNO 24ch,v10,3,0.981908
ModAFNO 24ch,mslp,3,0.996784
ModAFNO 24ch,T1000,4,0.987085
ModAFNO 24ch,T925,4,0.989301
ModAFNO 24ch,T850,4,0.987509
ModAFNO 24ch,T700,4,0.989783
ModAFNO 24ch,U1000,4,0.986428
ModAFNO 24ch,U925,4,0.986863
ModAFNO 24ch,U850,4,0.986954
ModAFNO 24ch,U700,4,0.987833
ModAFNO 24ch,V1000,4,0.986648
ModAFNO 24ch,V925,4,0.985922
ModAFNO 24ch,V850,4,0.985715
ModAFNO 24ch,V700,4,0.987081
ModAFNO 24ch,Q1000,4,0.980011
ModAFNO 24ch,Q925,4,0.963729
ModAFNO 24ch,Q850,4,0.967948
ModAFNO 24ch,Q700,4,0.975749
ModAFNO 24ch,Z1000,4,0.997620
ModAFNO 24ch,Z925,4,0.996761
ModAFNO 24ch,Z850,4,0.997095
ModAFNO 24ch,Z700,4,0.995966
ModAFNO 24ch,t2m,4,0.964556
ModAFNO 24ch,u10,4,0.985481
ModAFNO 24ch,v10,4,0.985491
ModAFNO 24ch,mslp,4,0.997413
ModAFNO 24ch,T1000,5,0.994145
ModAFNO 24ch,T925,5,0.994951
ModAFNO 24ch,T850,5,0.993064
ModAFNO 24ch,T700,5,0.993844
ModAFNO 24ch,U1000,5,0.994972
ModAFNO 24ch,U925,5,0.995098
ModAFNO 24ch,U850,5,0.994969
ModAFNO 24ch,U700,5,0.995113
ModAFNO 24ch,V1000,5,0.995353
ModAFNO 24ch,V925,5,0.995144
ModAFNO 24ch,V850,5,0.995005
ModAFNO 24ch,V700,5,0.995448
ModAFNO 24ch,Q1000,5,0.989877
ModAFNO 24ch,Q925,5,0.984643
ModAFNO 24ch,Q850,5,0.987415
ModAFNO 24ch,Q700,5,0.990619
ModAFNO 24ch,Z1000,5,0.998894
ModAFNO 24ch,Z925,5,0.997966
ModAFNO 24ch,Z850,5,0.998127
ModAFNO 24ch,Z700,5,0.996714
ModAFNO 24ch,t2m,5,0.982185
ModAFNO 24ch,u10,5,0.994452
ModAFNO 24ch,v10,5,0.994724
ModAFNO 24ch,mslp,5,0.998604
S-DYff 24ch,T1000,1,0.996202
S-DYff 24ch,T925,1,0.996628
S-DYff 24ch,T850,1,0.996429
S-DYff 24ch,T700,1,0.997209
S-DYff 24ch,U1000,1,0.994525
S-DYff 24ch,U925,1,0.994759
S-DYff 24ch,U850,1,0.994747
S-DYff 24ch,U700,1,0.995045
S-DYff 24ch,V1000,1,0.994469
S-DYff 24ch,V925,1,0.994047
S-DYff 24ch,V850,1,0.993682
S-DYff 24ch,V700,1,0.993944
S-DYff 24ch,Q1000,1,0.994401
S-DYff 24ch,Q925,1,0.986778
S-DYff 24ch,Q850,1,0.987734
S-DYff 24ch,Q700,1,0.990295
S-DYff 24ch,Z1000,1,0.999255
S-DYff 24ch,Z925,1,0.999273
S-DYff 24ch,Z850,1,0.999319
S-DYff 24ch,Z700,1,0.999475
S-DYff 24ch,t2m,1,0.992694
S-DYff 24ch,u10,1,0.994327
S-DYff 24ch,v10,1,0.994123
S-DYff 24ch,mslp,1,0.999302
S-DYff 24ch,T1000,2,0.990851
S-DYff 24ch,T925,2,0.991699
S-DYff 24ch,T850,2,0.991096
S-DYff 24ch,T700,2,0.993165
S-DYff 24ch,U1000,2,0.986991
S-DYff 24ch,U925,2,0.987327
S-DYff 24ch,U850,2,0.986978
S-DYff 24ch,U700,2,0.987769
S-DYff 24ch,V1000,2,0.986596
S-DYff 24ch,V925,2,0.985926
S-DYff 24ch,V850,2,0.984724
S-DYff 24ch,V700,2,0.985091
S-DYff 24ch,Q1000,2,0.986039
S-DYff 24ch,Q925,2,0.967021
S-DYff 24ch,Q850,2,0.968076
S-DYff 24ch,Q700,2,0.974910
S-DYff 24ch,Z1000,2,0.998813
S-DYff 24ch,Z925,2,0.998901
S-DYff 24ch,Z850,2,0.999031
S-DYff 24ch,Z700,2,0.999286
S-DYff 24ch,t2m,2,0.975670
S-DYff 24ch,u10,2,0.986500
S-DYff 24ch,v10,2,0.985748
S-DYff 24ch,mslp,2,0.998865
S-DYff 24ch,T1000,3,0.988488
S-DYff 24ch,T925,3,0.989489
S-DYff 24ch,T850,3,0.988625
S-DYff 24ch,T700,3,0.991321
S-DYff 24ch,U1000,3,0.983597
S-DYff 24ch,U925,3,0.983929
S-DYff 24ch,U850,3,0.983324
S-DYff 24ch,U700,3,0.984371
S-DYff 24ch,V1000,3,0.983251
S-DYff 24ch,V925,3,0.982584
S-DYff 24ch,V850,3,0.980691
S-DYff 24ch,V700,3,0.981051
S-DYff 24ch,Q1000,3,0.981378
S-DYff 24ch,Q925,3,0.957935
S-DYff 24ch,Q850,3,0.958277
S-DYff 24ch,Q700,3,0.966907
S-DYff 24ch,Z1000,3,0.998495
S-DYff 24ch,Z925,3,0.998615
S-DYff 24ch,Z850,3,0.998779
S-DYff 24ch,Z700,3,0.999092
S-DYff 24ch,t2m,3,0.983056
S-DYff 24ch,u10,3,0.982986
S-DYff 24ch,v10,3,0.982204
S-DYff 24ch,mslp,3,0.998549
S-DYff 24ch,T1000,4,0.991251
S-DYff 24ch,T925,4,0.991873
S-DYff 24ch,T850,4,0.990959
S-DYff 24ch,T700,4,0.992990
S-DYff 24ch,U1000,4,0.986438
S-DYff 24ch,U925,4,0.986775
S-DYff 24ch,U850,4,0.986598
S-DYff 24ch,U700,4,0.987462
S-DYff 24ch,V1000,4,0.986601
S-DYff 24ch,V925,4,0.985991
S-DYff 24ch,V850,4,0.984551
S-DYff 24ch,V700,4,0.984847
S-DYff 24ch,Q1000,4,0.984842
S-DYff 24ch,Q925,4,0.966144
S-DYff 24ch,Q850,4,0.967985
S-DYff 24ch,Q700,4,0.974793
S-DYff 24ch,Z1000,4,0.998633
S-DYff 24ch,Z925,4,0.998715
S-DYff 24ch,Z850,4,0.998853
S-DYff 24ch,Z700,4,0.999151
S-DYff 24ch,t2m,4,0.982569
S-DYff 24ch,u10,4,0.985966
S-DYff 24ch,v10,4,0.985825
S-DYff 24ch,mslp,4,0.998692
S-DYff 24ch,T1000,5,0.996727
S-DYff 24ch,T925,5,0.996875
S-DYff 24ch,T850,5,0.996478
S-DYff 24ch,T700,5,0.997195
S-DYff 24ch,U1000,5,0.994493
S-DYff 24ch,U925,5,0.994733
S-DYff 24ch,U850,5,0.994716
S-DYff 24ch,U700,5,0.995007
S-DYff 24ch,V1000,5,0.994611
S-DYff 24ch,V925,5,0.994247
S-DYff 24ch,V850,5,0.993752
S-DYff 24ch,V700,5,0.993933
S-DYff 24ch,Q1000,5,0.994320
S-DYff 24ch,Q925,5,0.987060
S-DYff 24ch,Q850,5,0.987823
S-DYff 24ch,Q700,5,0.990261
S-DYff 24ch,Z1000,5,0.999208
S-DYff 24ch,Z925,5,0.999218
S-DYff 24ch,Z850,5,0.999267
S-DYff 24ch,Z700,5,0.999433
S-DYff 24ch,t2m,5,0.995537
S-DYff 24ch,u10,5,0.994304
S-DYff 24ch,v10,5,0.994301
S-DYff 24ch,mslp,5,0.999253
ATM-VFI,T1000,1,0.996934
ATM-VFI,T925,1,0.997290
ATM-VFI,T850,1,0.997153
ATM-VFI,T700,1,0.997579
ATM-VFI,U1000,1,0.997536
ATM-VFI,U925,1,0.997612
ATM-VFI,U850,1,0.997111
ATM-VFI,U700,1,0.997258
ATM-VFI,V1000,1,0.998165
ATM-VFI,V925,1,0.998158
ATM-VFI,V850,1,0.997866
ATM-VFI,V700,1,0.998297
ATM-VFI,Q1000,1,0.994756
ATM-VFI,Q925,1,0.987858
ATM-VFI,Q850,1,0.988920
ATM-VFI,Q700,1,0.990690
ATM-VFI,Z1000,1,0.999527
ATM-VFI,Z925,1,0.999530
ATM-VFI,Z850,1,0.999545
ATM-VFI,Z700,1,0.999629
ATM-VFI,t2m,1,0.993279
ATM-VFI,u10,1,0.997481
ATM-VFI,v10,1,0.998040
ATM-VFI,mslp,1,0.999549
ATM-VFI,T1000,2,0.992325
ATM-VFI,T925,2,0.993219
ATM-VFI,T850,2,0.992909
ATM-VFI,T700,2,0.994108
ATM-VFI,U1000,2,0.993806
ATM-VFI,U925,2,0.993943
ATM-VFI,U850,2,0.992835
ATM-VFI,U700,2,0.993324
ATM-VFI,V1000,2,0.994782
ATM-VFI,V925,2,0.994769
ATM-VFI,V850,2,0.993996
ATM-VFI,V700,2,0.995071
