candidate,reference,horizon_hours,year,family,metric,scope,tau,channel,better,left,right,delta_left_minus_right,ci95_low,ci95_median,ci95_high,n_windows,n_blocks,block_days,draws,p_raw_two_sided,p_censored,p_raw_left_better,p_raw_left_worse,p_holm_two_sided,p_holm_left_better,p_holm_left_worse,family_alpha,source_path,source_sha256
flow_spectral,refine,6,2020,acc,mean_window_acc,field_hour,1,T850,higher,0.9983281733153703,0.9981459675386029,0.000182205776767419,0.00017587983389274754,0.00018216487241784485,0.00018874408396800935,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherbridge_detail,6,2020,acc,mean_window_acc,field_hour,1,T850,higher,0.9983281733153703,0.9982550660796305,7.310723573972222e-05,6.89221465315637e-05,7.30763130291634e-05,7.75932544495761e-05,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherdcae_14m_6yr,6,2020,acc,mean_window_acc,field_hour,1,T850,higher,0.9983281733153703,0.9972169921566018,0.001111181158768515,0.0010772015747003093,0.0011112281997889828,0.0011464740363881537,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,refine,6,2020,acc,mean_window_acc,field_hour,1,T925,higher,0.9982674861312809,0.9980476578864347,0.00021982824484623187,0.00021388308181385373,0.0002198170371220387,0.00022612606427967197,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherbridge_detail,6,2020,acc,mean_window_acc,field_hour,1,T925,higher,0.9982674861312809,0.9981823254756054,8.516065567554243e-05,8.14985837825244e-05,8.513095468154486e-05,8.902295564466867e-05,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherdcae_14m_6yr,6,2020,acc,mean_window_acc,field_hour,1,T925,higher,0.9982674861312809,0.9973188311126406,0.0009486550186402765,0.0009208040815748442,0.0009483853963889177,0.00097657939361101,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,refine,6,2020,acc,mean_window_acc,field_hour,1,U1000,higher,0.998174288748717,0.9981257662492832,4.852249943387843e-05,4.70639665157202e-05,4.852879397770904e-05,4.998037892316176e-05,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherbridge_detail,6,2020,acc,mean_window_acc,field_hour,1,U1000,higher,0.998174288748717,0.9981749791929515,-6.904442344524142e-07,-1.9232292138848806e-06,-6.922522816643628e-07,5.422581736719274e-07,7315,53,7,5000,0.2959408118376325,false,,,1.0,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherdcae_14m_6yr,6,2020,acc,mean_window_acc,field_hour,1,U1000,higher,0.998174288748717,0.997534329200231,0.0006399595484860576,0.0006249091326478246,0.0006400039190241347,0.0006545374912455965,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,refine,6,2020,acc,mean_window_acc,field_hour,1,U700,higher,0.9983612251298035,0.9983118632763767,4.936185342685473e-05,4.7839552834400004e-05,4.93476030399842e-05,5.0880628414515236e-05,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
